e_id,l_id
1,0
3,1
6,1
7,2
8,1
11,1
12,2
13,3
14,1
15,1
16,1
17,1
19,4
19,5
19,5
19,6
19,7
21,8
22,9
26,10
28,11
29,10
30,12
31,13
32,14
32,15
34,16
34,17
34,9
34,18
34,19
36,16
36,8
36,5
36,6
36,6
38,20
38,21
38,22
38,23
38,24
38,25
38,6
40,26
42,27
46,28
47,2
48,8
49,1
50,1
51,2
52,29
53,6
53,30
53,30
55,31
58,32
59,33
59,34
59,34
59,34
60,34
60,34
61,35
62,16
63,16
64,36
65,37
65,38
65,39
65,40
69,41
70,39
72,42
73,8
74,1
76,1
78,39
78,43
79,44
81,44
82,44
83,16
84,45
86,46
87,37
88,33
89,8
90,1
92,1
94,47
94,48
94,48
94,49
97,39
97,43
98,44
99,44
100,44
101,44
103,16
103,8
103,50
103,19
103,6
104,51
105,32
106,5
106,52
106,32
109,12
111,16
112,53
113,45
113,40
115,14
115,40
115,40
116,45
116,37
117,54
117,40
119,1
120,55
121,1
122,2
123,56
123,20
124,1
125,2
126,45
126,37
127,40
128,45
128,27
129,40
130,45
131,27
132,45
133,27
135,1
136,55
137,1
138,2
139,56
139,20
140,1
141,2
142,57
143,16
144,16
145,58
146,57
146,40
148,57
149,20
150,1
152,14
153,20
154,59
156,14
157,60
157,61
157,62
158,62
158,63
159,64
160,65
160,12
161,16
162,57
162,27
163,57
163,27
164,57
168,66
169,51
169,32
170,5
171,16
171,52
171,67
175,57
176,37
178,1
179,2
180,51
180,32
181,5
182,45
184,68
185,58
186,69
186,62
187,5
187,70
187,71
187,72
188,41
188,73
190,74
191,16
191,52
194,75
194,27
194,76
194,77
194,27
194,41
195,78
196,79
196,27
196,27
197,80
197,27
198,37
199,37
199,1
199,1
199,15
199,15
199,15
199,81
199,15
199,81
199,1
199,1
201,82
201,12
202,12
202,43
202,44
202,12
203,44
205,60
207,83
207,5
213,84
215,85
221,86
222,87
225,88
227,88
229,88
230,88
231,88
232,88
233,88
234,88
235,88
237,88
238,89
239,88
240,88
241,88
242,88
243,88
244,88
245,88
247,88
248,88
252,90
253,91
254,92
256,92
257,92
258,92
260,92
261,92
263,92
263,69
268,5
269,5
274,93
277,93
279,93
283,94
284,95
285,96
293,97
293,98
294,99
295,99
296,99
297,99
298,100
301,100
303,100
305,100
308,99
309,101
309,102
309,72
310,99
311,99
312,99
313,99
314,99
315,99
316,99
317,99
319,99
320,99
321,99
322,99
324,99
325,99
326,99
327,99
328,99
329,99
330,99
331,99
332,99
333,99
334,102
335,99
336,99
337,99
338,5
339,5
340,5
341,5
342,87
345,98
345,103
346,100
347,100
349,100
350,100
352,100
353,100
358,104
361,105
362,39
363,106
366,100
369,100
370,107
372,107
374,108
374,109
375,108
376,108
377,107
378,108
378,109
379,107
381,110
381,111
381,110
381,87
386,112
387,113
390,114
390,101
390,101
390,101
390,115
390,115
391,116
392,117
393,117
396,117
397,1
398,118
400,118
405,119
406,120
408,120
410,121
411,113
412,113
414,113
415,113
417,113
418,113
421,122
421,123
422,113
423,113
424,124
426,124
427,124
429,124
430,125
432,125
435,125
436,126
436,127
437,127
441,127
442,127
446,127
448,127
450,127
452,128
454,129
456,130
457,131
458,130
459,130
461,130
462,130
463,130
464,130
465,132
466,130
467,130
469,130
470,130
471,130
472,130
476,130
477,130
479,130
480,124
482,124
485,133
488,134
491,135
492,135
494,136
497,136
501,137
504,137
505,35
506,137
507,137
509,137
513,137
514,137
515,137
518,138
519,138
520,138
521,138
523,138
524,138
525,138
526,139
526,140
527,140
528,141
529,141
530,141
532,140
533,140
533,142
534,141
535,141
538,143
538,144
539,119
540,119
541,145
541,146
541,146
541,147
541,130
541,130
541,130
541,130
542,146
546,130
547,130
550,130
552,130
555,130
556,148
556,149
556,150
557,130
562,130
563,151
563,151
563,152
563,153
563,154
563,153
563,155
564,130
565,130
566,130
567,130
569,130
570,156
570,130
573,130
575,130
576,130
578,130
579,130
581,130
583,130
584,157
586,130
587,130
589,130
