e_id,t_id
1,5
3,0
6,5
7,2
8,0
11,5
12,2
13,2
14,2
15,5
16,5
17,4
19,2
19,2
19,2
19,2
19,2
21,0
22,0
26,4
28,2
29,2
30,1
31,2
32,0
32,0
34,2
34,2
34,2
34,2
34,2
36,2
36,2
36,2
36,2
36,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
40,4
42,0
46,0
47,2
48,2
49,2
50,5
51,2
52,2
53,0
53,0
53,0
55,3
58,2
59,5
59,5
59,5
59,5
60,5
60,5
61,0
62,5
63,5
64,2
65,5
65,5
65,5
65,5
69,2
70,5
72,1
73,2
74,5
76,0
78,5
78,5
79,2
81,4
82,2
83,5
84,4
86,1
87,5
88,1
89,2
90,5
92,0
94,1
94,1
94,1
94,1
97,5
97,5
98,5
99,1
100,0
101,0
103,2
103,2
103,2
103,2
103,2
104,2
105,2
106,0
106,0
106,0
109,5
111,0
112,5
113,1
113,1
115,2
115,2
115,2
116,2
116,2
117,2
117,2
119,1
120,2
121,5
122,2
123,2
123,2
124,5
125,2
126,1
126,1
127,0
128,2
128,2
129,0
130,2
131,1
132,2
133,1
135,1
136,2
137,5
138,2
139,2
139,2
140,5
141,2
142,1
143,5
144,5
145,5
146,4
146,4
148,1
149,2
150,5
152,3
153,2
154,5
156,3
157,2
157,2
157,2
158,5
158,5
159,4
160,0
160,0
161,0
162,1
162,1
163,1
163,1
164,1
168,0
169,2
169,2
170,0
171,4
171,4
171,4
175,2
176,0
178,5
179,2
180,2
180,2
181,0
182,1
184,2
185,4
186,5
186,5
187,0
187,0
187,0
187,0
188,2
188,2
190,4
191,5
191,5
194,1
194,1
194,1
194,1
194,1
194,1
195,0
196,5
196,5
196,5
197,4
197,4
198,2
199,2
199,2
199,2
199,2
199,2
199,2
199,2
199,2
199,2
199,2
199,2
201,4
201,4
202,4
202,4
202,4
202,4
203,0
205,1
207,1
207,1
213,3
215,5
221,5
222,1
225,2
227,2
229,0
230,2
231,2
232,1
233,2
234,1
235,2
237,2
238,5
239,2
240,2
241,0
242,1
243,2
244,2
245,3
247,4
248,1
252,1
253,3
254,2
256,2
257,2
258,2
260,2
261,2
263,3
263,3
268,5
269,0
274,1
277,1
279,1
283,2
284,0
285,2
293,4
293,4
294,0
295,0
296,0
297,0
298,2
301,2
303,2
305,2
308,0
309,0
309,0
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,3
317,0
319,0
320,0
321,0
322,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,3
332,0
333,0
334,2
335,0
336,2
337,0
338,3
339,1
340,0
341,5
342,1
345,1
345,1
346,2
347,5
349,2
350,5
352,2
353,5
358,0
361,5
362,2
363,5
366,0
369,0
370,1
372,1
374,3
374,3
375,1
376,1
377,1
378,3
378,3
379,1
381,5
381,5
381,5
381,5
386,5
387,0
390,2
390,2
390,2
390,2
390,2
390,2
391,2
392,0
393,2
396,0
397,2
398,4
400,3
405,2
406,2
408,5
410,5
411,4
412,4
414,5
415,2
417,0
418,4
421,5
421,5
422,0
423,0
424,5
426,0
427,1
429,0
430,3
432,3
435,3
436,4
436,4
437,2
441,2
442,5
446,1
448,1
450,2
452,5
454,0
456,2
457,5
458,2
459,1
461,2
462,5
463,5
464,0
465,0
466,1
467,0
469,5
470,5
471,5
472,0
476,2
477,5
479,0
480,5
482,0
485,4
488,0
491,1
492,5
494,5
497,2
501,4
504,2
505,5
506,5
507,4
509,2
513,1
514,5
515,5
518,5
519,0
520,3
521,5
523,3
524,5
525,5
526,0
526,0
527,4
528,4
529,0
530,5
532,0
533,4
533,4
534,4
535,5
538,3
538,3
539,5
540,0
541,0
541,0
541,0
541,0
541,0
541,0
541,0
541,0
542,2
546,2
547,2
550,2
552,5
555,0
556,0
556,0
556,0
557,0
562,0
563,2
563,2
563,2
563,2
563,2
563,2
563,2
564,2
565,1
566,3
567,2
569,0
570,0
570,0
573,2
575,2
576,0
578,2
579,5
581,0
583,2
584,3
586,5
587,0
589,2
591,0
592,0
593,0
594,5
596,0
598,5
598,5
598,5
600,0
600,0
600,0
600,0
600,0
600,0
602,4
603,2
609,2
609,2
610,5
610,5
610,5
612,4
613,4
614,5
615,1
617,0
618,4
619,0
621,0
622,0
624,5
624,5
624,5
625,4
627,1
628,2
630,2
632,2
633,0
636,4
638,4
639,5
640,3
642,4
643,2
644,2
647,3
648,2
651,3
652,5
653,5
654,5
655,1
658,2
658,2
658,2
658,2
659,4
664,2
666,0
667,0
670,4
670,4
672,0
674,2
675,4
676,1
679,0
680,5
681,0
685,3
685,3
686,2
688,4
690,3
691,3
692,2
693,1
694,0
695,3
696,3
697,2
698,5
699,0
700,5
703,5
704,0
706,5
707,5
708,0
710,1
711,3
712,1
713,1
715,2
716,5
717,4
717,4
718,2
719,1
722,0
724,2
725,2
726,0
728,2
729,0
731,0
732,1
733,2
734,1
736,0
738,0
739,2
740,0
742,2
743,2
744,3
745,2
747,0
750,2
750,2
750,2
750,2
750,2
750,2
750,2
751,2
752,5
753,5
755,0
756,2
756,2
756,2
756,2
756,2
756,2
757,0
758,2
759,5
760,5
762,0
763,2
765,0
766,3
767,2
768,0
769,0
770,3
773,5
774,3
776,1
777,1
779,2
781,5
782,3
784,0
785,4
787,2
789,5
791,2
792,5
794,2
796,2
798,0
799,5
800,5
801,1
801,1
802,4
803,3
804,5
806,5
807,4
808,2
810,5
811,5
812,1
814,5
815,1
816,3
817,0
818,1
820,0
821,3
822,2
824,0
825,0
826,0
827,2
828,1
830,0
831,1
833,0
834,1
835,0
836,3
837,1
839,0
841,1
842,4
843,0
844,1
845,4
846,0
847,1
849,0
850,0
851,0
852,1
854,0
855,1
856,4
857,0
858,1
859,4
860,0
861,1
863,0
864,1
865,4
866,0
868,2
870,2
872,0
873,3
874,1
875,0
877,0
879,2
881,2
883,0
884,0
885,0
886,1
887,1
888,0
890,1
891,0
893,4
895,1
896,0
898,0
899,5
900,0
901,0
902,2
903,5
904,0
905,5
906,0
908,2
910,0
912,2
913,3
915,0
916,2
917,1
918,2
920,0
921,5
922,3
924,0
924,0
925,0
928,0
929,0
931,3
933,2
934,0
935,0
937,3
939,2
940,0
941,0
943,2
944,0
944,0
945,0
947,2
948,3
950,0
953,0
955,2
957,1
959,2
960,0
961,0
962,0
964,0
967,2
970,0
972,2
974,0
976,5
978,0
980,2
981,4
982,0
982,0
983,0
986,2
989,0
991,0
993,5
995,0
996,2
997,2
998,3
999,2
999,2
999,2
1000,2
1000,2
1000,2
1001,2
1001,2
1001,2
1002,2
1002,2
1003,0
1004,1
1006,5
1010,4
1012,0
1013,1
1018,0
1019,1
1020,1
1021,4
1023,5
1024,5
1026,1
1027,2
1027,2
1027,2
1029,0
1030,1
1032,4
1032,4
1032,4
1032,4
1032,4
1033,2
1037,0
1038,0
1039,2
1040,2
1041,1
1042,2
1043,2
1044,1
1045,1
1046,2
1048,1
1052,0
1054,4
1054,4
1055,2
1060,3
1061,3
1064,0
1067,2
1071,4
1072,5
1073,2
1075,2
1082,5
1082,5
1084,2
1086,2
1090,1
1091,1
1091,1
1091,1
1092,2
1094,3
1095,1
1096,2
1097,4
1098,5
1099,5
1101,3
1103,1
1103,1
1103,1
1103,1
1104,2
1105,3
1111,0
1112,4
1113,5
1115,5
1117,5
1119,5
1120,1
1121,1
1124,0
1125,5
1126,0
1127,5
1128,1
1129,4
1130,4
1132,4
1133,5
1135,5
1137,5
1139,0
1140,5
1142,0
1145,0
1147,1
1149,0
1150,2
1152,1
1154,0
1155,5
1156,4
1157,0
1159,2
1160,1
1162,0
1164,0
1166,3
1166,3
1168,0
1169,1
1171,0
1173,0
1174,1
1175,3
1175,3
1177,0
1179,0
1180,5
1182,0
1183,1
1185,0
1186,1
1188,0
1189,5
1191,0
1193,3
1194,1
1195,5
1196,1
1198,0
1200,1
1201,1
1203,0
1204,3
1205,5
1207,0
1208,5
1210,0
1212,0
1213,5
1215,0
1217,5
1219,0
1220,4
1222,0
1224,1
1226,0
1228,4
1229,1
1230,0
1233,0
1236,1
1238,0
1239,4
1241,4
1243,0
1247,0
1248,1
1250,0
1251,1
1252,0
1253,0
1254,4
1256,0
1258,0
1261,0
1263,0
1265,0
1266,0
1266,0
1266,0
1268,1
1269,5
1272,2
1274,0
1276,1
1280,2
1281,5
1282,5
1284,4
1285,5
1287,5
1289,0
1291,1
1295,2
1298,2
1304,0
1305,5
1306,5
1307,1
1308,0
1309,4
1310,0
1311,2
1312,0
1313,5
1314,2
1317,0
1318,2
1320,4
1321,2
1322,0
1324,0
1325,0
1327,2
1328,0
1330,0
1332,2
1337,0
1338,0
1340,5
1344,1
1347,3
1348,5
1351,2
1354,3
1356,2
1356,2
1356,2
1357,0
1359,4
1360,1
1361,2
1362,1
1363,2
1365,1
1366,1
1367,2
1368,5
1370,0
1371,0
1371,0
1372,3
1372,3
1373,0
1373,0
1374,3
1374,3
1376,3
1377,3
1377,3
1379,3
1379,3
1381,3
1381,3
1381,3
1382,2
1382,2
1384,0
1385,0
1386,1
1387,5
1388,0
1389,5
1390,0
1391,5
1392,0
1393,5
1394,1
1396,5
1399,5
1400,1
1401,3
1404,0
1406,0
1407,2
1408,0
1409,4
1410,4
1411,5
1412,0
1413,2
1414,2
1415,3
1415,3
1416,2
1417,2
1418,2
1419,2
1420,2
1421,2
1423,0
1424,2
1424,2
1424,2
1424,2
1424,2
1425,5
1429,2
1432,2
1433,1
1434,5
1436,0
1437,0
1439,1
1441,5
1442,5
1444,5
1448,2
1450,2
1452,2
1454,2
1461,0
1462,2
1467,0
1469,4
1470,4
1471,0
1474,0
1475,2
1477,0
1478,3
1478,3
1478,3
1478,3
1479,5
1480,2
1481,2
1482,2
1484,2
1486,3
1488,5
1489,5
1493,0
1494,4
1495,5
1498,4
1499,5
1500,0
1502,4
1504,5
1509,1
1510,0
1510,0
1511,2
1512,1
1513,0
1513,0
1515,0
1516,3
1518,5
1520,5
1521,3
1522,1
1526,3
1527,5
1528,1
1529,1
1531,1
1537,2
1540,1
1541,4
1546,4
1547,5
1548,1
1550,1
1553,1
1556,1
1557,0
1559,1
1561,3
1562,1
1564,2
1565,1
1567,2
1568,1
1570,1
1571,2
1572,1
1575,1
1578,1
1581,1
1583,3
1584,1
1587,1
1588,0
1589,1
1591,0
1591,0
1591,0
1591,0
1592,1
1593,0
1594,1
1599,0
1605,1
1607,0
1608,2
1610,1
1613,5
1615,4
1617,5
1618,4
1619,3
1620,5
1621,2
1622,1
1624,1
1626,5
1627,5
1628,4
1629,3
1631,5
1633,5
1634,5
1638,5
1639,1
1641,3
1645,5
1646,1
1649,1
1652,2
1654,0
1654,0
1655,0
1659,1
1661,4
1662,5
1663,4
1664,1
1665,0
1666,4
1667,5
1668,4
1669,1
1670,0
1671,4
1671,4
1672,5
1673,1
1674,2
1675,5
1677,5
1681,1
1682,0
1683,0
1683,0
1685,1
1687,3
1688,0
1689,5
1690,3
1691,0
1692,4
1695,5
1696,5
1698,0
1702,1
1703,1
1706,1
1706,1
1706,1
1707,0
1709,2
1710,3
1712,4
1715,2
1716,2
1718,0
1719,1
1720,3
1720,3
1721,5
1722,1
1724,2
1726,4
1726,4
1726,4
1727,1
1728,1
1730,3
1732,1
1733,3
1734,5
1736,3
1737,4
1738,4
1739,4
1740,4
1741,4
1745,1
1750,0
1751,4
1753,0
1754,5
1754,5
1755,5
1756,1
1756,1
1756,1
1757,5
1757,5
1757,5
1759,5
1759,5
1761,0
1762,3
1763,3
1764,0
1766,1
1767,0
1769,2
1770,0
1771,5
1772,2
1774,0
1775,2
1776,4
1777,5
1778,5
1780,0
1782,0
1783,2
1785,2
1788,2
1790,0
1790,0
1790,0
1793,0
1795,2
1796,2
1798,2
1799,5
1800,0
1801,2
1802,0
1806,4
1807,5
1814,3
1816,0
1818,5
1819,4
1820,4
1821,4
1822,3
1823,2
1824,3
1825,2
1826,5
1827,2
1828,0
1830,5
1833,1
1834,1
1835,1
1836,5
1838,2
1840,1
1840,1
1840,1
1840,1
1841,2
1841,2
1841,2
1841,2
1841,2
1842,1
1843,4
1843,4
1844,5
1845,5
1846,0
1847,5
1848,5
1849,0
1850,5
1851,5
1852,0
1853,5
1854,5
1855,0
1856,0
1857,5
1858,0
1859,5
1860,0
1861,5
1862,0
1863,5
1864,0
1865,5
1866,1
1870,5
1871,5
1872,1
1872,1
1873,5
1874,0
1875,5
1876,5
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1886,1
1887,1
1888,1
1889,1
1890,1
1892,2
1893,2
1893,2
1893,2
1893,2
1897,2
1898,2
1899,4
1900,2
1902,5
1903,5
1904,5
1905,5
1907,5
1908,1
1908,1
1910,2
1912,2
1914,2
1915,4
1916,5
1917,5
1917,5
1918,1
1918,1
1918,1
1919,5
1920,1
1921,2
1924,1
1926,4
1926,4
1926,4
1929,2
1933,0
1933,0
1933,0
1936,2
1937,1
1938,2
1940,2
1942,5
1943,0
1943,0
1944,2
1945,0
1946,3
1947,2
1948,3
1949,2
1950,3
1951,2
1952,5
1953,5
1954,2
1955,0
1956,2
1958,2
1960,5
1961,2
1962,3
1963,2
1965,5
1967,4
1969,2
1970,5
1972,5
1974,4
1976,2
1976,2
1976,2
1983,1
1984,4
1985,0
1986,2
1987,4
1989,5
1991,3
1992,1
1993,1
